,R_fighter,B_fighter,R_KD,B_KD,R_SIG_STR.,B_SIG_STR.,R_SIG_STR_pct,B_SIG_STR_pct,R_TOTAL_STR.,B_TOTAL_STR.,R_TD,B_TD,R_TD_pct,B_TD_pct,R_SUB_ATT,B_SUB_ATT,R_PASS,B_PASS,R_REV,B_REV,R_HEAD,B_HEAD,R_BODY,B_BODY,R_LEG,B_LEG,R_DISTANCE,B_DISTANCE,R_CLINCH,B_CLINCH,R_GROUND,B_GROUND,win_by,last_round,last_round_time,Format,Referee,date,location,Fight_type,Winner
58,Nordine Taleb,Kyle Prepolec,0,0,90 of 201,52 of 153,44%,33%,90 of 201,53 of 154,0 of 0,0 of 2,0%,0%,0,0,0,0,0,0,32 of 125,27 of 113,27 of 39,22 of 30,31 of 37,3 of 10,89 of 199,51 of 151,0 of 0,1 of 2,1 of 2,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jerin Valel,2019-05-04,"Ottawa, Ontario, Canada",Welterweight Bout,Nordine Taleb
59,Kyle Nelson,Matt Sayles,0,0,26 of 93,75 of 147,27%,51%,32 of 103,106 of 181,2 of 10,0 of 0,20%,0%,4,1,1,3,0,1,18 of 82,45 of 113,8 of 11,15 of 18,0 of 0,15 of 16,24 of 86,48 of 105,2 of 7,3 of 5,0 of 0,24 of 37,Submission,3,3:16,3 Rnd (5-5-5),Todd Ronald Anderson,2019-05-04,"Ottawa, Ontario, Canada",Featherweight Bout,Matt Sayles
60,Arjan Bhullar,Juan Adams,0,0,41 of 62,81 of 185,66%,43%,69 of 94,107 of 212,2 of 2,0 of 0,100%,0%,0,0,2,0,0,0,32 of 53,56 of 158,8 of 8,21 of 23,1 of 1,4 of 4,18 of 37,50 of 148,19 of 21,30 of 36,4 of 4,1 of 1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Yves Lavigne,2019-05-04,"Ottawa, Ontario, Canada",Heavyweight Bout,Arjan Bhullar
61,Mitch Gagnon,Cole Smith,1,0,15 of 54,38 of 88,27%,43%,23 of 62,56 of 111,0 of 1,2 of 4,0%,50%,2,2,1,2,1,0,11 of 42,13 of 41,2 of 8,9 of 26,2 of 4,16 of 21,9 of 40,27 of 72,4 of 11,10 of 15,2 of 3,1 of 1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Kevin MacDonald,2019-05-04,"Ottawa, Ontario, Canada",Bantamweight Bout,Cole Smith
62,Jacare Souza,Jack Hermansson,0,0,90 of 175,148 of 372,51%,39%,120 of 205,256 of 496,0 of 3,3 of 10,0%,30%,0,1,0,1,0,0,65 of 141,96 of 313,24 of 33,32 of 36,1 of 1,20 of 23,74 of 154,120 of 339,15 of 20,24 of 29,1 of 1,4 of 4,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Dan Miragliotta,2019-04-27,"Sunrise, Florida, USA",Middleweight Bout,Jack Hermansson
63,Greg Hardy,Dmitrii Smoliakov,0,0,14 of 30,1 of 3,46%,33%,17 of 33,1 of 3,0 of 0,0 of 2,0%,0%,0,0,0,0,0,0,12 of 28,1 of 3,2 of 2,0 of 0,0 of 0,0 of 0,4 of 13,1 of 3,2 of 2,0 of 0,8 of 15,0 of 0,KO/TKO,1,2:15,3 Rnd (5-5-5),Keith Peterson,2019-04-27,"Sunrise, Florida, USA",Heavyweight Bout,Greg Hardy
64,Alex Oliveira,Mike Perry,0,0,48 of 137,65 of 110,35%,59%,50 of 139,75 of 120,0 of 1,0 of 1,0%,0%,0,0,0,1,0,0,30 of 110,48 of 90,7 of 16,6 of 8,11 of 11,11 of 12,42 of 125,32 of 72,6 of 11,18 of 19,0 of 1,15 of 19,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Larry Downs,2019-04-27,"Sunrise, Florida, USA",Welterweight Bout,Mike Perry
65,Glover Teixeira,Ion Cutelaba,0,0,30 of 57,74 of 135,52%,54%,35 of 63,74 of 135,0 of 7,0 of 0,0%,0%,1,0,3,1,0,0,24 of 51,57 of 113,6 of 6,16 of 21,0 of 0,1 of 1,16 of 38,43 of 94,9 of 11,20 of 25,5 of 8,11 of 16,Submission,2,3:37,3 Rnd (5-5-5),Alan Abeles,2019-04-27,"Sunrise, Florida, USA",Light Heavyweight Bout,Glover Teixeira
66,John Lineker,Cory Sandhagen,0,0,106 of 256,120 of 275,41%,43%,106 of 256,128 of 283,1 of 2,2 of 4,50%,50%,1,0,0,0,0,0,57 of 177,72 of 218,39 of 64,16 of 23,10 of 15,32 of 34,105 of 250,119 of 273,1 of 6,1 of 2,0 of 0,0 of 0,Decision - Split,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,2019-04-27,"Sunrise, Florida, USA",Bantamweight Bout,Cory Sandhagen
67,Roosevelt Roberts,Thomas Gifford,0,0,53 of 85,30 of 70,62%,42%,95 of 132,86 of 130,2 of 4,1 of 1,50%,100%,0,0,6,1,0,0,41 of 73,16 of 53,7 of 7,5 of 7,5 of 5,9 of 10,31 of 59,24 of 63,3 of 3,4 of 5,19 of 23,2 of 2,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,2019-04-27,"Sunrise, Florida, USA",Lightweight Bout,Roosevelt Roberts
68,Ben Saunders,Takashi Sato,0,1,46 of 90,28 of 69,51%,40%,47 of 91,33 of 74,0 of 0,0 of 0,0%,0%,0,0,0,0,0,0,9 of 46,25 of 64,22 of 28,2 of 3,15 of 16,1 of 2,29 of 70,13 of 44,17 of 20,2 of 6,0 of 0,13 of 19,KO/TKO,2,1:18,3 Rnd (5-5-5),Larry Downs,2019-04-27,"Sunrise, Florida, USA",Welterweight Bout,Takashi Sato
69,Andrei Arlovski,Augusto Sakai,0,0,75 of 175,42 of 132,42%,31%,82 of 182,51 of 141,0 of 0,0 of 1,0%,0%,0,0,0,0,0,0,31 of 126,26 of 108,29 of 31,8 of 12,15 of 18,8 of 12,65 of 164,30 of 113,10 of 11,12 of 19,0 of 0,0 of 0,Decision - Split,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,2019-04-27,"Sunrise, Florida, USA",Heavyweight Bout,Augusto Sakai
70,Carla Esparza,Virna Jandiroba,0,0,25 of 51,17 of 37,49%,45%,97 of 128,64 of 89,4 of 10,3 of 9,40%,33%,0,0,3,5,1,2,18 of 43,13 of 33,6 of 7,4 of 4,1 of 1,0 of 0,12 of 30,13 of 30,8 of 12,3 of 6,5 of 9,1 of 1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Alan Abeles,2019-04-27,"Sunrise, Florida, USA",Women's Strawweight Bout,Carla Esparza
71,Gilbert Burns,Mike Davis,0,0,49 of 87,13 of 44,56%,29%,81 of 122,17 of 49,3 of 6,0 of 0,50%,0%,1,0,4,0,0,0,36 of 71,5 of 29,4 of 6,6 of 13,9 of 10,2 of 2,28 of 62,11 of 42,4 of 5,2 of 2,17 of 20,0 of 0,Submission,2,4:15,3 Rnd (5-5-5),Keith Peterson,2019-04-27,"Sunrise, Florida, USA",Lightweight Bout,Gilbert Burns
72,Jim Miller,Jason Gonzalez,0,0,6 of 11,10 of 25,54%,40%,8 of 14,10 of 25,2 of 2,0 of 0,100%,0%,1,0,1,0,0,0,4 of 9,5 of 20,0 of 0,0 of 0,2 of 2,5 of 5,6 of 11,10 of 25,0 of 0,0 of 0,0 of 0,0 of 0,Submission,1,2:12,3 Rnd (5-5-5),Larry Downs,2019-04-27,"Sunrise, Florida, USA",Lightweight Bout,Jim Miller
73,Angela Hill,Jodie Esquibel,0,0,117 of 236,57 of 289,49%,19%,118 of 237,57 of 289,0 of 3,0 of 3,0%,0%,0,0,0,0,0,0,83 of 195,40 of 243,30 of 37,15 of 42,4 of 4,2 of 4,103 of 219,50 of 277,13 of 16,7 of 12,1 of 1,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Alan Abeles,2019-04-27,"Sunrise, Florida, USA",Women's Strawweight Bout,Angela Hill
74,Court McGee,Dhiego Lima,1,0,65 of 228,65 of 159,28%,40%,69 of 232,67 of 161,0 of 8,0 of 3,0%,0%,0,0,0,0,0,0,28 of 166,47 of 135,15 of 34,16 of 22,22 of 28,2 of 2,60 of 223,62 of 155,4 of 4,3 of 4,1 of 1,0 of 0,Decision - Split,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,2019-04-27,"Sunrise, Florida, USA",Welterweight Bout,Dhiego Lima
75,Alistair Overeem,Aleksei Oleinik,1,0,29 of 33,38 of 58,87%,65%,31 of 35,78 of 101,0 of 1,0 of 0,0%,0%,0,0,0,0,0,0,23 of 27,15 of 34,6 of 6,23 of 24,0 of 0,0 of 0,5 of 8,12 of 26,12 of 13,26 of 32,12 of 12,0 of 0,KO/TKO,1,4:45,5 Rnd (5-5-5-5-5),Marc Goddard,2019-04-20,"Saint Petersburg, Saint Petersburg, Russia",Heavyweight Bout,Alistair Overeem
76,Islam Makhachev,Arman Tsarukyan,0,0,14 of 20,13 of 43,70%,30%,47 of 53,60 of 90,4 of 9,1 of 12,44%,8%,0,0,2,0,0,0,7 of 12,5 of 25,6 of 6,7 of 15,1 of 2,1 of 3,4 of 10,6 of 34,8 of 8,7 of 9,2 of 2,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,2019-04-20,"Saint Petersburg, Saint Petersburg, Russia",Lightweight Bout,Islam Makhachev
77,Sergei Pavlovich,Marcelo Golm,1,0,17 of 26,5 of 15,65%,33%,17 of 26,5 of 15,0 of 0,0 of 0,0%,0%,0,0,0,0,0,0,17 of 26,4 of 13,0 of 0,0 of 1,0 of 0,1 of 1,14 of 22,4 of 14,3 of 4,1 of 1,0 of 0,0 of 0,KO/TKO,1,1:06,3 Rnd (5-5-5),Leon Roberts,2019-04-20,"Saint Petersburg, Saint Petersburg, Russia",Heavyweight Bout,Sergei Pavlovich
78,Roxanne Modafferi,Antonina Shevchenko,0,0,33 of 79,64 of 116,41%,55%,105 of 162,87 of 144,5 of 6,0 of 0,83%,0%,0,0,5,0,2,2,29 of 73,50 of 101,3 of 5,12 of 13,1 of 1,2 of 2,18 of 60,49 of 98,3 of 4,10 of 11,12 of 15,5 of 7,Decision - Split,3,5:00,3 Rnd (5-5-5),Marc Goddard,2019-04-20,"Saint Petersburg, Saint Petersburg, Russia",Women's Flyweight Bout,Roxanne Modafferi
79,Krzysztof Jotko,Alen Amedovski,0,0,43 of 69,6 of 17,62%,35%,111 of 149,6 of 17,4 of 4,0 of 0,100%,0%,0,0,5,0,0,1,37 of 56,6 of 17,4 of 10,0 of 0,2 of 3,0 of 0,8 of 25,3 of 12,0 of 0,0 of 0,35 of 44,3 of 5,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,2019-04-20,"Saint Petersburg, Saint Petersburg, Russia",Middleweight Bout,Krzysztof Jotko
80,Movsar Evloev,Seungwoo Choi,0,0,50 of 78,26 of 58,64%,44%,121 of 156,94 of 136,5 of 16,0 of 2,31%,0%,0,0,1,0,0,0,42 of 69,19 of 49,7 of 8,5 of 5,1 of 1,2 of 4,6 of 29,10 of 40,15 of 16,10 of 12,29 of 33,6 of 6,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Vjacheslav Kiselev,2019-04-20,"Saint Petersburg, Saint Petersburg, Russia",Featherweight Bout,Movsar Evloev
81,Sultan Aliev,Keita Nakamura,0,0,25 of 63,29 of 81,39%,35%,32 of 70,57 of 109,2 of 7,0 of 1,28%,0%,0,0,0,0,0,0,22 of 57,18 of 63,2 of 4,7 of 11,1 of 2,4 of 7,20 of 53,21 of 72,4 of 9,4 of 5,1 of 1,4 of 4,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,2019-04-20,"Saint Petersburg, Saint Petersburg, Russia",Welterweight Bout,Sultan Aliev
82,Alexander Yakovlev,Alex Da Silva,0,0,14 of 19,8 of 19,73%,42%,18 of 23,10 of 23,1 of 2,1 of 3,50%,33%,1,0,0,2,0,0,9 of 14,3 of 14,4 of 4,3 of 3,1 of 1,2 of 2,2 of 6,2 of 11,5 of 5,3 of 3,7 of 8,3 of 5,Submission,2,3:10,3 Rnd (5-5-5),Marc Goddard,2019-04-20,"Saint Petersburg, Saint Petersburg, Russia",Lightweight Bout,Alexander Yakovlev
83,Marcin Tybura,Shamil Abdurakhimov,0,1,28 of 70,36 of 87,40%,41%,28 of 70,36 of 87,0 of 0,0 of 3,0%,0%,0,0,0,0,0,0,17 of 58,24 of 72,6 of 7,10 of 13,5 of 5,2 of 2,26 of 65,26 of 74,2 of 5,10 of 13,0 of 0,0 of 0,KO/TKO,2,3:15,3 Rnd (5-5-5),Herb Dean,2019-04-20,"Saint Petersburg, Saint Petersburg, Russia",Heavyweight Bout,Shamil Abdurakhimov
84,Gadzhimurad Antigulov,Michal Oleksiejczuk,0,3,6 of 13,8 of 10,46%,80%,6 of 13,8 of 10,0 of 2,0 of 0,0%,0%,0,0,0,0,0,0,5 of 12,8 of 10,1 of 1,0 of 0,0 of 0,0 of 0,6 of 13,3 of 5,0 of 0,1 of 1,0 of 0,4 of 4,KO/TKO,1,0:44,3 Rnd (5-5-5),Leon Roberts,2019-04-20,"Saint Petersburg, Saint Petersburg, Russia",Light Heavyweight Bout,Michal Oleksiejczuk
85,Magomed Mustafaev,Rafael Fiziev,1,0,10 of 12,1 of 1,83%,100%,11 of 13,1 of 1,0 of 0,0 of 0,0%,0%,0,0,0,0,0,0,7 of 9,0 of 0,1 of 1,0 of 0,2 of 2,1 of 1,4 of 6,1 of 1,0 of 0,0 of 0,6 of 6,0 of 0,KO/TKO,1,1:26,3 Rnd (5-5-5),Vjacheslav Kiselev,2019-04-20,"Saint Petersburg, Saint Petersburg, Russia",Lightweight Bout,Magomed Mustafaev
86,Max Holloway,Dustin Poirier,0,0,181 of 446,178 of 381,40%,46%,208 of 473,180 of 383,0 of 0,1 of 8,0%,12%,1,0,0,0,0,0,141 of 394,153 of 349,39 of 50,18 of 24,1 of 2,7 of 8,167 of 425,165 of 365,14 of 21,13 of 16,0 of 0,0 of 0,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Blake Grice,2019-04-13,"Atlanta, Georgia, USA",UFC Interim Lightweight Title Bout,Dustin Poirier
87,Kelvin Gastelum,Israel Adesanya,0,4,91 of 220,109 of 237,41%,45%,92 of 222,119 of 247,1 of 9,0 of 0,11%,0%,0,2,0,0,1,0,68 of 191,70 of 186,12 of 16,16 of 23,11 of 13,23 of 28,91 of 219,100 of 225,0 of 1,1 of 1,0 of 0,8 of 11,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,2019-04-13,"Atlanta, Georgia, USA",UFC Interim Middleweight Title Bout,Israel Adesanya
88,Eryk Anders,Khalil Rountree Jr.,0,4,16 of 69,79 of 157,23%,50%,19 of 72,83 of 162,0 of 1,0 of 0,0%,0%,0,0,0,0,0,0,12 of 62,26 of 89,4 of 7,15 of 23,0 of 0,38 of 45,16 of 68,75 of 145,0 of 1,0 of 0,0 of 0,4 of 12,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,2019-04-13,"Atlanta, Georgia, USA",Light Heavyweight Bout,Khalil Rountree Jr.
89,Alan Jouban,Dwight Grant,0,0,24 of 100,38 of 122,24%,31%,25 of 101,39 of 123,1 of 2,0 of 0,50%,0%,0,0,1,0,0,0,9 of 77,13 of 88,3 of 6,4 of 8,12 of 17,21 of 26,19 of 89,37 of 121,1 of 4,1 of 1,4 of 7,0 of 0,Decision - Split,3,5:00,3 Rnd (5-5-5),George Allen,2019-04-13,"Atlanta, Georgia, USA",Welterweight Bout,Dwight Grant
90,Ovince Saint Preux,Nikita Krylov,0,0,4 of 8,27 of 44,50%,61%,8 of 12,60 of 79,3 of 8,1 of 2,37%,50%,0,2,2,2,1,0,3 of 6,15 of 27,1 of 2,7 of 11,0 of 0,5 of 6,2 of 5,17 of 32,1 of 1,6 of 8,1 of 2,4 of 4,Submission,2,2:30,3 Rnd (5-5-5),Blake Grice,2019-04-13,"Atlanta, Georgia, USA",Light Heavyweight Bout,Nikita Krylov
91,Jalin Turner,Matt Frevola,0,0,35 of 116,31 of 77,30%,40%,42 of 124,49 of 95,0 of 0,4 of 13,0%,30%,1,2,0,7,1,2,27 of 101,18 of 50,8 of 15,5 of 18,0 of 0,8 of 9,31 of 107,24 of 67,1 of 5,0 of 2,3 of 4,7 of 8,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,2019-04-13,"Atlanta, Georgia, USA",Lightweight Bout,Matt Frevola
92,Wilson Reis,Alexandre Pantoja,0,1,1 of 6,23 of 33,16%,69%,2 of 7,26 of 36,1 of 4,0 of 0,25%,0%,0,0,0,0,0,0,0 of 4,19 of 28,0 of 1,4 of 5,1 of 1,0 of 0,1 of 6,7 of 12,0 of 0,0 of 0,0 of 0,16 of 21,KO/TKO,1,2:58,3 Rnd (5-5-5),Jason Herzog,2019-04-13,"Atlanta, Georgia, USA",Flyweight Bout,Alexandre Pantoja
93,Max Griffin,Zelim Imadaev,0,0,47 of 92,64 of 150,51%,42%,72 of 121,78 of 165,6 of 11,0 of 1,54%,0%,3,0,2,0,0,0,23 of 65,46 of 120,16 of 19,12 of 22,8 of 8,6 of 8,34 of 71,47 of 126,11 of 18,17 of 24,2 of 3,0 of 0,Decision - Majority,3,5:00,3 Rnd (5-5-5),George Allen,2019-04-13,"Atlanta, Georgia, USA",Welterweight Bout,Max Griffin
94,Boston Salmon,Khalid Taha,0,1,0 of 0,5 of 5,0%,100%,0 of 0,5 of 5,0 of 0,0 of 0,0%,0%,0,0,0,0,0,0,0 of 0,5 of 5,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,2 of 2,0 of 0,0 of 0,0 of 0,3 of 3,KO/TKO,1,0:25,3 Rnd (5-5-5),Blake Grice,2019-04-13,"Atlanta, Georgia, USA",Bantamweight Bout,Khalid Taha
95,Curtis Millender,Belal Muhammad,0,0,48 of 96,47 of 107,50%,43%,50 of 98,126 of 217,0 of 0,2 of 6,0%,33%,0,0,1,6,0,0,19 of 61,39 of 96,7 of 12,4 of 7,22 of 23,4 of 4,46 of 94,33 of 78,2 of 2,0 of 1,0 of 0,14 of 28,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,2019-04-13,"Atlanta, Georgia, USA",Welterweight Bout,Belal Muhammad
96,Montel Jackson,Andre Soukhamthath,0,0,64 of 107,30 of 62,59%,48%,160 of 218,41 of 73,3 of 4,1 of 1,75%,100%,0,0,3,0,1,0,38 of 78,6 of 33,17 of 19,7 of 10,9 of 10,17 of 19,38 of 78,26 of 58,11 of 14,4 of 4,15 of 15,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,2019-04-13,"Atlanta, Georgia, USA",Bantamweight Bout,Montel Jackson
97,Lauren Mueller,Poliana Botelho,0,0,47 of 116,47 of 84,40%,55%,105 of 182,152 of 202,0 of 0,2 of 2,0%,100%,0,0,1,2,0,0,28 of 87,19 of 45,9 of 18,14 of 22,10 of 11,14 of 17,42 of 109,33 of 70,4 of 5,8 of 8,1 of 2,6 of 6,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),George Allen,2019-04-13,"Atlanta, Georgia, USA",Women's Flyweight Bout,Poliana Botelho
98,Brandon Davis,Randy Costa,0,0,35 of 88,46 of 101,39%,45%,40 of 93,49 of 104,0 of 0,0 of 0,0%,0%,1,0,0,0,0,0,20 of 67,37 of 89,6 of 11,8 of 11,9 of 10,1 of 1,30 of 82,44 of 98,5 of 6,2 of 3,0 of 0,0 of 0,Submission,2,1:12,3 Rnd (5-5-5),Jason Herzog,2019-04-13,"Atlanta, Georgia, USA",Bantamweight Bout,Brandon Davis
99,Edson Barboza,Justin Gaethje,0,1,13 of 32,20 of 35,40%,57%,13 of 32,22 of 37,0 of 0,0 of 0,0%,0%,0,0,0,0,0,0,6 of 21,13 of 28,3 of 5,2 of 2,4 of 6,5 of 5,11 of 30,12 of 22,2 of 2,8 of 13,0 of 0,0 of 0,KO/TKO,1,2:30,5 Rnd (5-5-5-5-5),Keith Peterson,2019-03-30,"Philadelphia, Pennsylvania, USA",Lightweight Bout,Justin Gaethje
100,David Branch,Jack Hermansson,0,0,1 of 6,3 of 10,16%,30%,1 of 6,3 of 10,0 of 0,1 of 2,0%,50%,0,1,0,1,0,0,1 of 6,1 of 6,0 of 0,0 of 2,0 of 0,2 of 2,1 of 6,3 of 10,0 of 0,0 of 0,0 of 0,0 of 0,Submission,1,0:49,3 Rnd (5-5-5),Dan Miragliotta,2019-03-30,"Philadelphia, Pennsylvania, USA",Middleweight Bout,Jack Hermansson
101,Josh Emmett,Michael Johnson,1,0,22 of 87,24 of 128,25%,18%,22 of 87,24 of 128,0 of 3,0 of 0,0%,0%,0,0,0,0,0,0,7 of 65,13 of 110,7 of 14,9 of 14,8 of 8,2 of 4,22 of 87,24 of 128,0 of 0,0 of 0,0 of 0,0 of 0,KO/TKO,3,4:14,3 Rnd (5-5-5),Keith Peterson,2019-03-30,"Philadelphia, Pennsylvania, USA",Featherweight Bout,Josh Emmett
102,Karolina Kowalkiewicz,Michelle Waterson,0,0,57 of 118,64 of 149,48%,42%,77 of 141,82 of 167,0 of 0,2 of 4,0%,50%,0,1,0,1,0,0,16 of 61,25 of 93,20 of 27,17 of 26,21 of 30,22 of 30,42 of 103,41 of 121,13 of 13,17 of 21,2 of 2,6 of 7,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,2019-03-30,"Philadelphia, Pennsylvania, USA",Women's Strawweight Bout,Michelle Waterson
103,Kennedy Nzechukwu,Paul Craig,0,0,40 of 72,25 of 77,55%,32%,47 of 80,31 of 83,0 of 0,1 of 16,0%,6%,0,2,1,0,0,1,33 of 64,6 of 51,7 of 8,13 of 20,0 of 0,6 of 6,11 of 36,21 of 71,7 of 7,4 of 6,22 of 29,0 of 0,Submission,3,4:20,3 Rnd (5-5-5),Keith Peterson,2019-03-30,"Philadelphia, Pennsylvania, USA",Light Heavyweight Bout,Paul Craig
104,Sodiq Yusuff,Sheymon Moraes,1,0,73 of 148,54 of 118,49%,45%,99 of 177,58 of 122,0 of 3,0 of 0,0%,0%,0,0,1,0,0,0,32 of 88,21 of 70,25 of 35,26 of 40,16 of 25,7 of 8,49 of 115,42 of 102,15 of 21,12 of 16,9 of 12,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,2019-03-30,"Philadelphia, Pennsylvania, USA",Featherweight Bout,Sodiq Yusuff
105,Marina Rodriguez,Jessica Aguilar,1,0,118 of 202,50 of 114,58%,43%,129 of 213,63 of 127,0 of 1,0 of 1,0%,0%,0,1,0,1,1,0,58 of 123,23 of 76,38 of 53,27 of 38,22 of 26,0 of 0,67 of 143,22 of 75,39 of 47,27 of 38,12 of 12,1 of 1,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,2019-03-30,"Philadelphia, Pennsylvania, USA",Women's Strawweight Bout,Marina Rodriguez
106,Ross Pearson,Desmond Green,0,1,12 of 24,25 of 32,50%,78%,12 of 24,25 of 32,0 of 1,1 of 2,0%,50%,0,0,0,0,0,0,1 of 6,17 of 23,4 of 11,6 of 6,7 of 7,2 of 3,12 of 24,10 of 16,0 of 0,1 of 1,0 of 0,14 of 15,KO/TKO,1,2:52,3 Rnd (5-5-5),James Chappell,2019-03-30,"Philadelphia, Pennsylvania, USA",Lightweight Bout,Desmond Green
107,Enrique Barzola,Kevin Aguilar,0,0,52 of 126,58 of 243,41%,23%,53 of 127,58 of 243,0 of 8,0 of 0,0%,0%,0,0,0,0,0,0,28 of 96,36 of 208,9 of 13,20 of 31,15 of 17,2 of 4,50 of 121,58 of 240,2 of 5,0 of 3,0 of 0,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Bill Bookwalter,2019-03-30,"Philadelphia, Pennsylvania, USA",Featherweight Bout,Kevin Aguilar
108,Kevin Holland,Gerald Meerschaert,0,0,27 of 43,10 of 13,62%,76%,76 of 98,44 of 56,1 of 2,6 of 11,50%,54%,2,4,4,9,2,2,19 of 35,4 of 6,4 of 4,3 of 4,4 of 4,3 of 3,10 of 19,4 of 4,0 of 1,4 of 7,17 of 23,2 of 2,Decision - Split,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,2019-03-30,"Philadelphia, Pennsylvania, USA",Middleweight Bout,Kevin Holland
109,Ray Borg,Casey Kenney,0,0,17 of 35,32 of 52,48%,61%,22 of 40,46 of 68,7 of 10,2 of 3,70%,66%,0,0,3,4,1,3,8 of 23,9 of 27,8 of 11,19 of 20,1 of 1,4 of 5,2 of 14,9 of 23,13 of 19,19 of 25,2 of 2,4 of 4,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),James Chappell,2019-03-30,"Philadelphia, Pennsylvania, USA",Bantamweight Bout,Casey Kenney
110,Sabina Mazo,Maryna Moroz,0,0,64 of 144,56 of 190,44%,29%,73 of 157,74 of 208,0 of 0,1 of 9,0%,11%,0,0,0,0,0,0,21 of 87,27 of 150,19 of 25,18 of 28,24 of 32,11 of 12,61 of 138,47 of 174,2 of 5,4 of 9,1 of 1,5 of 7,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,2019-03-30,"Philadelphia, Pennsylvania, USA",Women's Flyweight Bout,Maryna Moroz
111,Alex Perez,Mark De La Rosa,0,0,60 of 110,26 of 84,54%,30%,150 of 220,74 of 140,2 of 4,0 of 0,50%,0%,0,0,1,0,0,0,37 of 74,19 of 73,2 of 5,2 of 2,21 of 31,5 of 9,26 of 64,15 of 70,1 of 2,2 of 2,33 of 44,9 of 12,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Bill Bookwalter,2019-03-30,"Philadelphia, Pennsylvania, USA",Bantamweight Bout,Alex Perez
112,Stephen Thompson,Anthony Pettis,0,1,47 of 107,32 of 55,43%,58%,47 of 107,32 of 55,0 of 0,0 of 0,0%,0%,0,0,0,0,0,0,28 of 70,5 of 21,9 of 20,7 of 12,10 of 17,20 of 22,47 of 107,30 of 53,0 of 0,0 of 0,0 of 0,2 of 2,KO/TKO,2,4:55,5 Rnd (5-5-5-5-5),Herb Dean,2019-03-23,"Nashville, Tennessee, USA",Welterweight Bout,Anthony Pettis
113,Curtis Blaydes,Justin Willis,0,0,22 of 33,2 of 9,66%,22%,72 of 90,9 of 16,7 of 11,0 of 0,63%,0%,0,0,4,0,0,0,10 of 19,2 of 9,1 of 3,0 of 0,11 of 11,0 of 0,8 of 11,2 of 9,1 of 2,0 of 0,13 of 20,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,2019-03-23,"Nashville, Tennessee, USA",Heavyweight Bout,Curtis Blaydes
114,John Makdessi,Jesus Pinedo,0,0,73 of 137,37 of 113,53%,32%,75 of 139,37 of 114,0 of 0,0 of 0,0%,0%,0,0,0,0,0,0,25 of 60,18 of 74,8 of 21,10 of 18,40 of 56,9 of 21,73 of 137,37 of 113,0 of 0,0 of 0,0 of 0,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,2019-03-23,"Nashville, Tennessee, USA",Lightweight Bout,John Makdessi
115,Jussier Formiga,Deiveson Figueiredo,0,0,26 of 51,14 of 50,50%,28%,51 of 78,41 of 80,3 of 5,0 of 2,60%,0%,0,0,7,0,0,0,19 of 43,6 of 36,5 of 6,7 of 11,2 of 2,1 of 3,15 of 35,9 of 45,2 of 2,3 of 3,9 of 14,2 of 2,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,2019-03-23,"Nashville, Tennessee, USA",Flyweight Bout,Jussier Formiga
